"title","customer_name","customer_phone","customer_email","billing_address","shipping_address","shipping_fname","shipping_lname","order_total","order_tax","order_shipping","shipping_option","coupons","order_source","ship_to_residential","product_sku","row_id","row_order","order_id","entry_id","title","quantity","price","price_plus_tax","weight","shipping","no_tax","no_shipping","extra"
"Order #229573"," ","","ryan231216231216@ryanshrum.com","
,  ","33 Joost Ave
San Francisco, CA 94131","Flo","Sample Test",0.00,0.00,0.00,"FedEx Home Delivery","","Sample","y","12-1001",93,0,231216,148164,"BookBook for MacBook Pro — Black — 13""",1,0,0,5,0,1,0,""
"Order #229573"," ","","ryan231216231216@ryanshrum.com","
,  ","33 Joost Ave
San Francisco, CA 94131","Flo","Sample Test",0.00,0.00,0.00,"FedEx Home Delivery","","Sample","y","12-1002",94,1,231216,148165,"BookBook for MacBook Pro — Red — 13""",1,0,0,5,0,1,0,""
"Order #229573"," ","","ryan231216231216@ryanshrum.com","
,  ","33 Joost Ave
San Francisco, CA 94131","Flo","Sample Test",0.00,0.00,0.00,"FedEx Home Delivery","","Sample","y","12-1003",95,2,231216,148180,"BookBook for MacBook Pro — Black — 15""",1,0,0,5,0,1,0,""
"Order #229573"," ","","ryan231216231216@ryanshrum.com","
,  ","33 Joost Ave
San Francisco, CA 94131","Flo","Sample Test",0.00,0.00,0.00,"FedEx Home Delivery","","Sample","y","12-1004",96,3,231216,148181,"BookBook for MacBook Pro — Red — 15""",1,0,0,5,0,1,0,""
"Order #229586"," ","","ryan231245231245@ryanshrum.com",",  ","Unit 8900 Box 114
Dpo, AK 09831","Flo","Sample Test",0.00,0.00,0.00,"FedEx Home Delivery","","Sample","y","12-1005",109,0,231245,148182,"BookBook for MacBook Pro — Black — 17""",2,0,0,5,0,1,0,""
"Order #229588"," ","","ryan231249231249@ryanshrum.com","
,  ","3150 Cedar Glade Lane
Buford, GA 30519","Flo","Sample Test",0.00,0.00,0.00,"UPS Next Day Air Sav","","Sample","y","12-1006",111,0,231249,148183,"BookBook for MacBook Pro — Red — 17""",1,0,0,5,0,1,0,""
"Order #229588"," ","","ryan231249231249@ryanshrum.com","
,  ","3150 Cedar Glade Lane
Buford, GA 30519","Flo","Sample Test",0.00,0.00,0.00,"UPS Next Day Air Sav","","Sample","y","12-1101",112,1,231249,148198,"MagicWand",1,0,0,1,0,1,0,""
"Order #229588"," ","","ryan231249231249@ryanshrum.com","
,  ","3150 Cedar Glade Lane
Buford, GA 30519","Flo","Sample Test",0.00,0.00,0.00,"UPS Next Day Air Sav","","Sample","y","12-1102",113,2,231249,148192,"BookArc for MacBook Air",1,0,0,2,0,1,0,""
"Order #229588"," ","","ryan231249231249@ryanshrum.com","
,  ","3150 Cedar Glade Lane
Buford, GA 30519","Flo","Sample Test",0.00,0.00,0.00,"UPS Next Day Air Sav","","Sample","y","12-1103",114,3,231249,148159,"BookBook for MacBook Air & Retina — 11""",1,0,0,4,0,1,0,""
"Order #229588"," ","","ryan231249231249@ryanshrum.com","
,  ","3150 Cedar Glade Lane
Buford, GA 30519","Flo","Sample Test",0.00,0.00,0.00,"UPS Next Day Air Sav","","Sample","y","12-1104",115,4,231249,148160,"BookBook for MacBook Air & Retina — 13""",1,0,0,4,0,1,0,""
